id,code,day,session_label,session_time,time,room,title,authors,affiliations,source_pdf,source_pages,start_page,end_page
0257,0257,"Monday, June 22",OR1-2D Physical Sensors and MEMS/NEMS 2,13:00-14:30,13:40,Rose 3,In-situ Interfacial Rheometry of Yield Stress Fluids via Soft MEMS Tactile Sensing: Bridging Tribology and Bulk Rheology,"R. Sano, A. Kusano, T. Abe, A. Ushida, M. Sohgawa","Niigata University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0257.pdf,2,74,75
0156,0156,"Monday, June 22",OR1-2A Energy and Power and MEMS/NEMS,13:00-14:30,13:42,Grand Ballroom 1,SOI-based MEMS Vibrational Energy Harvester using Self-Assembled Electrets,"Shuma Kawamura, Yuichiro Sunagawa, Hiroki Naruo, Satoshi Maruyama, Yuya Tanaka, Daisuke Yamane","Ritsumeikan University, Japan [1] Yokogawa Solution Service Corporation, Japan [2] Gunma University, Japan [3]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0156.pdf,2,76,77
0441,0441,"Monday, June 22",OR1-2B Self Organized 1 In-body/Intracellular Cybernetic Avatars,13:00-14:30,13:45,Rose 1,Engineering signaling systems of plant hormones as triggers and readouts of in-body avatar cells,"Shigeo S. Sugano, Jutapat Romsuk, Mika Ikegaya, Tze Mun Loo, Kosuke Dodo, Aki Hanyu, Atsushi Hijikata, Yoko Yamanishi, Satoshi Yotsumoto, Yoshitaka Shirasaki, Shinya Sakuma, Akiko Takahashi","National Institute of Advanced Industrial Science and Technology, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0441.pdf,2,78,79
0197,0197,"Monday, June 22",OR1-2C Optical MEMS 1,13:00-14:30,13:52,Rose 2,Optically Pumped GeSn Ridge Waveguide Lasers for Silicon Photonics,"R. Bansal, G. E. Chang","National Yang Ming Chiao Tung University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0197.pdf,3,80,82
0200,0200,"Monday, June 22",OR1-2E Bio/Medical Sensors and MEMS/NEMS 2,13:00-14:30,13:52,Plum Blossom 2,"Proposal and demonstration of Multi-Chip Ion Imaging Device Enabling Measurement of Chemical Information over a Wide Area Otono Uchizono, Toshiki Kitamura, Yasuyuki Kimura, Takeshi Hizawa, Daisuke Akai, Yoshiko","O. Uchizono, T. Kitamura, Y. Kimura, T. Hizawa, D. Akai, Y. Noda, H. Doi, T. Horio, Yong-Joon Choi","Toyohashi University of Technology, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0200.pdf,2,83,84
0258,0258,"Monday, June 22",OR1-2D Physical Sensors and MEMS/NEMS 2,13:00-14:30,13:52,Rose 3,Sensitivity-Enhanced Monolithic CMOS-MEMS CMUT Receiver Front-End Using Low-Temperature ALD Alumina,"Tzu-Yun Huang, Chih-Yuan Hsiao, Ming-Huang Li","National Tsing Hua University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0258.pdf,2,85,86
0187,0187,"Monday, June 22",OR1-2A Energy and Power and MEMS/NEMS,13:00-14:30,13:54,Grand Ballroom 1,Effect of Increasing Moving Mass on the Output of an Inside-out Type Vibrational Energy Harvester,"Shuntaro Miyazato, Hiroaki Honma, Hiroshi Toshiyoshi, Akio Uesugi, Koji Sugano, Yoshitada Isono","Kobe University, Japan [1], The University of Tokyo, Japan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0187.pdf,2,87,88
0442,0442,"Monday, June 22",OR1-2B Self Organized 1 In-body/Intracellular Cybernetic Avatars,13:00-14:30,14:00,Rose 1,Avatar cells production based on electromechanical poration by electrically- induced bubbles,"Nobutoshi Ota, Kei Tateishi, Yoko Yamanishi","Kyushu University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0442.pdf,2,89,90
0201,0201,"Monday, June 22",OR1-2E Bio/Medical Sensors and MEMS/NEMS 2,13:00-14:30,14:04,Plum Blossom 2,"Enhanced Suppression of Non-Specific Adsorption of Graphene Oxide-Based Resonant Sensor for Label-Free Virus Sensing Viet Khoa Pham [1], Laoyang Yiayee [1], Homare Yoshida [1], Sachiko Sakai [1], Ippei Akita [2],","I.-H. Kwon, Y.-J. Choi, T. Noda, K. Sawada, K. Takahashi","Toyohashi University of Technology, Japan [1], National Institute of Advanced Industrial Science and Technology, Japan [2], Toyo University, Japan [3]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0201.pdf,2,91,92
0229,0229,"Monday, June 22",OR1-2C Optical MEMS 1,13:00-14:30,14:04,Rose 2,Sandwiched p-Si/PtSi/p-Si Mid-Infrared Photodetector for Efficient Hot-Career Collection at Room Temperature,"Satoshi Nishita, Ashenafi Abadi Elyas, Daiji Noda, Ryo Ohta, Tetsuo Kan","The University of Electro-Communications, Japan [1], Micromachine Center, Japan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0229.pdf,2,93,94
0264,0264,"Monday, June 22",OR1-2D Physical Sensors and MEMS/NEMS 2,13:00-14:30,14:04,Rose 3,Damped Structure for Q control in CMOS-MEMS Beams,"Jhih-Wei Lin, Chun-Pu Tsai, Nilabh Basu, Wei-Chang Li","National Taiwan University, Taiwan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0264.pdf,2,95,96
0263,0263,"Monday, June 22",OR1-2A Energy and Power and MEMS/NEMS,13:00-14:30,14:06,Grand Ballroom 1,Piezoelectric Vibration Energy Harvester Based on Bilayer Lithium Niobate,"Wei-Bin Fan, Chih-Yuan Hsiao, Yu-Sian Lin, Zhi-Qiang Lee, Huei-Chun Zeng, Hung-Tsai Wu, Ming-Huang Li","National Tsing Hua University, Taiwan [1], Industrial Technology Research Institute, Taiwan [2]",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0263.pdf,2,97,98
0438,0438,"Monday, June 22",OR1-2B Self Organized 1 In-body/Intracellular Cybernetic Avatars,13:00-14:30,14:15,Rose 1,Droplet-Based Microfluidic Platform for Time-Lapse Monitoring of Cellular Responses to Nano-Artifact Exposure,"S. Sakuma, Y. Yamanishi, K. Dodo, T. Kamatani, Y. Shirasaki, C.-H. D. Tsai, S. Yotsumoto, N. Kimura, S. S. Sugano","Kyushu University, Japan",/home/tsai/YoshiNAS/Tasks/APCOT2026_Proceedings/APCOT_Abstract/0438.pdf,2,99,100
